input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
randltl-10-a-hoa-1.txt,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.045,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy,0.073,a | !b,4,0,4,1.0,f1a6bbfad7c8,TRUE,0.045,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy+strength2,0.073,c R d,3,1,3,1.0,143bf9c9bb55,TRUE,0.045,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.075,Fb,2,1,2,1.0,80617ee78d88,TRUE,0.046,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.072,X!b,3,0,3,1.0,c1bafbe87d2d,TRUE,0.044,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.075,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.044,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,0.044,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.070,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,0.044,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.074,FGc,3,2,3,1.0,45de97920b4a,TRUE,0.042,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy,0.070,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.043,samples/kinska/randltl/4ap-ba/randltl-10-a-hoa-9.txt
0,LTL,daisy,0.070,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.044,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:1
c R d,LTL,daisy+strength2,0.077,c R d,3,1,3,1.0,143bf9c9bb55,TRUE,0.044,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:2
1 U b,LTL,daisy,0.074,Fb,2,1,2,1.0,80617ee78d88,TRUE,0.044,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:3
!Xb,LTL,daisy,0.075,X!b,3,0,3,1.0,c1bafbe87d2d,TRUE,0.045,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:4
b,LTL,daisy,0.072,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.043,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:5
1,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,0.044,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:6
!Fc,LTL,daisy,0.071,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,0.043,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:7
FGc,LTL,daisy,0.072,FGc,3,2,3,1.0,45de97920b4a,TRUE,0.043,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:8
GX(0),LTL,daisy,0.071,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.043,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:9
b -> a,LTL,daisy,0.073,a | !b,4,0,4,1.0,f1a6bbfad7c8,TRUE,0.042,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:10
randltl-10-a-hoa-1.txt,LTL,daisy,0.072,g,1,0,1,1.0,bffe89fde577,TRUE,0.045,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy+strength2,0.072,c W d,3,1,3,1.0,4afae9288bd0,TRUE,0.042,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy+strength2,0.073,d R e,3,1,3,1.0,54dd0197887b,TRUE,0.040,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.071,!h,2,0,2,1.0,2c0b951079eb,TRUE,0.042,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.076,XFg,3,1,3,1.0,b49734c707c1,TRUE,0.045,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.073,h M e,3,1,3,1.0,b653902c0324,TRUE,0.043,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.072,a,1,0,1,1.0,883cb92c9ed3,TRUE,0.045,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.072,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.044,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.073,a M g,3,1,3,1.0,883704efbb3c,TRUE,0.045,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy+strength2,0.073,h W b,3,1,3,1.0,686d3b4267ad,TRUE,0.043,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-9.txt
g,LTL,daisy,0.071,g,1,0,1,1.0,bffe89fde577,TRUE,0.043,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:1
d R e,LTL,daisy+strength2,0.076,d R e,3,1,3,1.0,54dd0197887b,TRUE,0.043,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:2
!h,LTL,daisy,0.073,!h,2,0,2,1.0,2c0b951079eb,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:3
XFg,LTL,daisy,0.074,XFg,3,1,3,1.0,b49734c707c1,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:4
h M e,LTL,daisy,0.072,h M e,3,1,3,1.0,b653902c0324,TRUE,0.044,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:5
a,LTL,daisy,0.072,a,1,0,1,1.0,883cb92c9ed3,TRUE,0.045,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:6
b,LTL,daisy,0.071,b,1,0,1,1.0,98f9c15e60dd,TRUE,0.045,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:7
a M g,LTL,daisy,0.075,a M g,3,1,3,1.0,883704efbb3c,TRUE,0.047,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:8
h W b,LTL,daisy+strength2,0.076,h W b,3,1,3,1.0,686d3b4267ad,TRUE,0.043,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:9
c W d,LTL,daisy+strength2,0.073,c W d,3,1,3,1.0,4afae9288bd0,TRUE,0.046,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:10
